Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070002,112,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070006,110,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070010,46,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070030,34,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070031,115,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070037,87,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070046,79,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070057,68,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070059,48,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070063,82,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070073,107,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070074,,N,No presentado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070080,49,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070084,82,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070085,49,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070089,33,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070099,119,S,Seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070100,,N,No presentado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070107,77,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070118,114,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070119,102,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070121,64,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070138,37,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070142,116,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070144,79,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070148,27,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070150,54,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070154,78,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,176,16411,13668,117,279,070157,,N,No presentado,,Consultar
