Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070008,116,S,Seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070016,111,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070022,78,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070028,109,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070029,,C,Cancelado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070040,104,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070043,,N,No presentado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070075,48,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070076,95,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070078,110,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070102,72,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070105,,N,No presentado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070113,107,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070115,94,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070123,101,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070149,96,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070152,75,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070162,32,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070170,81,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070178,112,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070179,104,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070184,31,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070193,72,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070250,40,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070267,38,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070274,71,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,100,6434,5688,115,205,070283,103,,No seleccionado,,Consultar
