Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,208,20805005,MEDICO CIRUJANO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20805005.html,50,5063,4375,117,71,070001,110,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20805005,MEDICO CIRUJANO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20805005.html,50,5063,4375,117,71,070033,41,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20805005,MEDICO CIRUJANO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20805005.html,50,5063,4375,117,71,070035,118,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,208,20805005,MEDICO CIRUJANO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20805005.html,50,5063,4375,117,71,070050,41,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20805005,MEDICO CIRUJANO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20805005.html,50,5063,4375,117,71,070052,73,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20805005,MEDICO CIRUJANO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20805005.html,50,5063,4375,117,71,070055,49,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20805005,MEDICO CIRUJANO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20805005.html,50,5063,4375,117,71,070064,95,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20805005,MEDICO CIRUJANO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20805005.html,50,5063,4375,117,71,070066,59,,No seleccionado,,Consultar
2,Licenciatura 2026,208,20805005,MEDICO CIRUJANO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20805005.html,50,5063,4375,117,71,070070,,N,No presentado,,Consultar
2,Licenciatura 2026,208,20805005,MEDICO CIRUJANO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20805005.html,50,5063,4375,117,71,070071,92,,No seleccionado,,Consultar
