Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,081776,,N,No presentado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,081909,82,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,089752,63,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,090755,80,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,095085,,N,No presentado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,098059,71,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,103260,77,S,Seleccionado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,105091,65,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,121962,68,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,134168,,N,No presentado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,134188,56,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,134199,,N,No presentado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,134403,36,,No seleccionado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,134493,103,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,134520,75,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,134558,,N,No presentado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,135303,28,,No seleccionado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,135382,29,,No seleccionado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,135824,88,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,136071,73,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,136353,69,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,136415,104,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,136614,,N,No presentado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,136638,,N,No presentado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,136824,98,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,137261,74,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,137722,79,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,137854,75,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,138053,70,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,138544,,N,No presentado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,138765,29,,No seleccionado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,138876,35,,No seleccionado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,139753,52,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,139777,64,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,140356,37,,No seleccionado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,141019,,N,No presentado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,141409,37,,No seleccionado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,141719,54,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,142202,101,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,142264,43,,No seleccionado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,143547,,N,No presentado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,143906,49,,No seleccionado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,144134,61,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,144408,102,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,144623,33,,No seleccionado,,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,145115,62,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,145227,78,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,145468,75,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,39,69,56,52,40,146298,78,S,Seleccionado,Cita para entregar documentación.,Consultar
