Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,079677,40,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,081916,44,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,083776,86,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,090287,72,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,092626,60,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,096361,,N,No presentado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,101029,44,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,101634,,N,No presentado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,101819,47,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,102670,48,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,103339,43,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,107680,51,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,112037,,N,No presentado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,115864,42,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,116023,30,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,116666,75,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,130483,87,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,133740,82,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,134490,49,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,134600,101,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,134630,31,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,134842,90,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,134963,59,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,135028,46,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,135090,,N,No presentado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,135396,54,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,135571,85,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,135743,45,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,136659,,N,No presentado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,136699,33,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,137135,75,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,137260,77,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,138519,,N,No presentado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,138926,,N,No presentado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,139024,64,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,139163,52,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,139677,101,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,139918,51,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,140323,,N,No presentado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,140407,63,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,140411,92,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,140690,49,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,140813,82,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,140868,,N,No presentado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,140928,55,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,141155,70,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,141638,77,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,141653,,N,No presentado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,141679,37,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,141757,38,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,141914,82,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,142123,110,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,142329,82,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,143212,51,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000015.html,8,82,66,92,8,143551,41,,No seleccionado,,Consultar
