Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21010005.html,40,255,200,80,68,071540,52,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21010005.html,40,255,200,80,68,072117,65,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21010005.html,40,255,200,80,68,072659,50,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21010005.html,40,255,200,80,68,075195,,N,No presentado,,Consultar
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21010005.html,40,255,200,80,68,075389,112,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21010005.html,40,255,200,80,68,076165,49,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21010005.html,40,255,200,80,68,076343,51,,No seleccionado,,Consultar
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21010005.html,40,255,200,80,68,076444,,N,No presentado,,Consultar
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21010005.html,40,255,200,80,68,077296,102,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21010005.html,40,255,200,80,68,077596,104,S,Seleccionado,Cita para entregar documentación.,Consultar
