Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,070693,40,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,070736,58,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,070874,46,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,072940,58,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,073225,69,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,073362,70,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,073535,74,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,073657,63,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,073738,26,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,073931,39,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,074794,57,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,075005,115,S,Seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,075130,70,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,075811,58,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,077519,55,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,077974,41,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,079258,79,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,079323,49,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,081312,60,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,082075,,N,No presentado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,082405,64,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,082440,,N,No presentado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,082477,55,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,082740,33,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,083239,54,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,083260,78,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,084252,52,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,084546,42,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,084725,36,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,084756,59,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,085054,65,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,085340,52,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,085554,,N,No presentado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,085903,78,S,Seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,086098,49,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,086615,71,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,087638,44,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,089145,30,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,089539,90,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,089654,62,,No seleccionado,,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,090165,85,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,090289,83,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21101005.html,38,145,134,78,40,090612,71,,No seleccionado,,Consultar
