Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21708005.html,40,41,34,45,29,071027,69,S,Seleccionado,,Consultar
2,Licenciatura 2026,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21708005.html,40,41,34,45,29,074286,,N,No presentado,,Consultar
2,Licenciatura 2026,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21708005.html,40,41,34,45,29,081647,62,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21708005.html,40,41,34,45,29,085001,52,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21708005.html,40,41,34,45,29,101682,53,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21708005.html,40,41,34,45,29,105669,71,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21708005.html,40,41,34,45,29,106792,55,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21708005.html,40,41,34,45,29,107672,,,No seleccionado,Cita para aclarar situación escolar.,Consultar
2,Licenciatura 2026,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21708005.html,40,41,34,45,29,115163,101,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21708005.html,40,41,34,45,29,119266,99,S,Seleccionado,Cita para entregar documentación.,Consultar
