Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,071159,35,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,075556,94,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,077614,70,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,082993,35,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,083091,70,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,084781,35,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,094801,59,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,096177,97,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,097220,31,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,098250,87,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,100026,41,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,105648,60,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,108694,68,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,110901,71,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,113118,52,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,114689,,N,No presentado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,114998,49,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,115845,63,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,116265,52,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,119585,85,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,119665,,N,No presentado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,121574,99,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,122271,114,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,122333,82,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,134540,,N,No presentado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,134810,,N,No presentado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,134868,40,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,135606,48,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,135624,101,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,135626,,N,No presentado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,135745,59,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,136137,34,,No seleccionado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,136298,,N,No presentado,,Consultar
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,8,100,83,87,20,136327,34,,No seleccionado,,Consultar
