Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,070342,,N,No presentado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,072515,70,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,074577,32,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,074841,90,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,075251,29,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,076285,71,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,076345,37,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,077749,73,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,079047,48,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,079444,52,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,079660,86,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,079813,44,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,081062,57,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,081932,96,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,082349,28,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,082494,,N,No presentado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,082611,52,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,082737,,N,No presentado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,082739,106,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,082841,67,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,082905,105,S,Seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,084190,91,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,085283,55,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,085377,89,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,085620,,N,No presentado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,085826,75,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,087076,53,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,27,117,92,85,27,087753,39,,No seleccionado,,Consultar
