Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,074667,,,No seleccionado,Cita para aclarar situación escolar.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,075527,84,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,089008,52,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,095151,92,S,Seleccionado,,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,128846,62,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,134393,67,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,136067,84,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,136805,56,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,137014,84,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,137499,76,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,139701,98,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,141430,95,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,143214,67,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,143439,64,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,144263,81,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,144616,55,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,147545,,N,No presentado,,Consultar
2,Licenciatura 2026,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,40,20,18,52,18,150420,100,S,Seleccionado,Cita para entregar documentación.,Consultar
