Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22508005.html,22,23,21,40,20,073044,87,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22508005.html,22,23,21,40,20,073140,57,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22508005.html,22,23,21,40,20,077478,87,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22508005.html,22,23,21,40,20,088581,99,S,Seleccionado,,Consultar
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22508005.html,22,23,21,40,20,089464,90,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22508005.html,22,23,21,40,20,129314,95,S,Seleccionado,,Consultar
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22508005.html,22,23,21,40,20,134797,,N,No presentado,,Consultar
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22508005.html,22,23,21,40,20,134840,37,,No seleccionado,,Consultar
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22508005.html,22,23,21,40,20,135847,89,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22508005.html,22,23,21,40,20,137650,40,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22508005.html,22,23,21,40,20,138136,65,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22508005.html,22,23,21,40,20,139775,93,S,Seleccionado,Cita para entregar documentación.,Consultar
