Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,227,22705005,NUTRIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22705005.html,55,1735,1393,109,69,070009,86,,No seleccionado,,Consultar
2,Licenciatura 2026,227,22705005,NUTRIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22705005.html,55,1735,1393,109,69,070281,67,,No seleccionado,,Consultar
2,Licenciatura 2026,227,22705005,NUTRIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22705005.html,55,1735,1393,109,69,070335,97,,No seleccionado,,Consultar
2,Licenciatura 2026,227,22705005,NUTRIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22705005.html,55,1735,1393,109,69,070428,93,,No seleccionado,,Consultar
2,Licenciatura 2026,227,22705005,NUTRIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22705005.html,55,1735,1393,109,69,070549,86,,No seleccionado,,Consultar
2,Licenciatura 2026,227,22705005,NUTRIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22705005.html,55,1735,1393,109,69,070554,34,,No seleccionado,,Consultar
2,Licenciatura 2026,227,22705005,NUTRIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22705005.html,55,1735,1393,109,69,070577,88,,No seleccionado,,Consultar
2,Licenciatura 2026,227,22705005,NUTRIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22705005.html,55,1735,1393,109,69,070616,73,,No seleccionado,,Consultar
2,Licenciatura 2026,227,22705005,NUTRIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22705005.html,55,1735,1393,109,69,070705,96,,No seleccionado,,Consultar
2,Licenciatura 2026,227,22705005,NUTRIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22705005.html,55,1735,1393,109,69,070775,88,,No seleccionado,,Consultar
2,Licenciatura 2026,227,22705005,NUTRIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22705005.html,55,1735,1393,109,69,070832,37,,No seleccionado,,Consultar
2,Licenciatura 2026,227,22705005,NUTRIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22705005.html,55,1735,1393,109,69,070856,113,S,Seleccionado,Cita para entregar documentación.,Consultar
