Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30107005.html,45,46,32,41,27,203244,35,,No seleccionado,,Consultar
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30107005.html,45,46,32,41,27,207914,,N,No presentado,,Consultar
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30107005.html,45,46,32,41,27,208525,81,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30107005.html,45,46,32,41,27,209165,,N,No presentado,,Consultar
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30107005.html,45,46,32,41,27,239630,82,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30107005.html,45,46,32,41,27,247048,54,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30107005.html,45,46,32,41,27,247495,,N,No presentado,,Consultar
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30107005.html,45,46,32,41,27,247577,,N,No presentado,,Consultar
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30107005.html,45,46,32,41,27,247753,73,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30107005.html,45,46,32,41,27,248794,30,,No seleccionado,,Consultar
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30107005.html,45,46,32,41,27,249017,51,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30107005.html,45,46,32,41,27,249091,67,S,Seleccionado,Cita para entregar documentación.,Consultar
