Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,200229,100,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,200332,34,,No seleccionado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,200381,78,,No seleccionado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,200587,62,,No seleccionado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,200616,66,,No seleccionado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,200698,75,,No seleccionado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,200853,68,,No seleccionado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,201256,87,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,201405,27,,No seleccionado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,201760,91,S,Seleccionado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,201824,71,,No seleccionado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,201885,59,,No seleccionado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,201946,103,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,203086,66,,No seleccionado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,203088,73,,No seleccionado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,203117,54,,No seleccionado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,203198,,N,No presentado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,203264,94,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,203268,49,,No seleccionado,,Consultar
3,Licenciatura 2026,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30302005.html,70,332,282,84,91,203278,94,S,Seleccionado,,Consultar
