Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200020,89,,No seleccionado,,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200021,76,,No seleccionado,,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200091,74,,No seleccionado,,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200233,63,,No seleccionado,,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200243,41,,No seleccionado,,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200341,106,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200369,87,,No seleccionado,,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200412,95,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200457,,N,No presentado,,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200571,,N,No presentado,,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200605,,N,No presentado,,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200613,85,,No seleccionado,,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200629,60,,No seleccionado,,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200672,,N,No presentado,,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,200723,66,,No seleccionado,,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,201094,35,,No seleccionado,,Consultar
3,Licenciatura 2026,306,30604005,ECONOMIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30604005.html,130,750,614,93,132,201131,96,S,Seleccionado,Cita para entregar documentación.,Consultar
