Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30801005.html,75,258,225,78,78,200451,58,,No seleccionado,,Consultar
3,Licenciatura 2026,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30801005.html,75,258,225,78,78,200630,61,,No seleccionado,,Consultar
3,Licenciatura 2026,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30801005.html,75,258,225,78,78,200727,53,,No seleccionado,,Consultar
3,Licenciatura 2026,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30801005.html,75,258,225,78,78,201137,44,,No seleccionado,,Consultar
3,Licenciatura 2026,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30801005.html,75,258,225,78,78,201168,74,,No seleccionado,,Consultar
3,Licenciatura 2026,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30801005.html,75,258,225,78,78,201488,39,,No seleccionado,,Consultar
3,Licenciatura 2026,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30801005.html,75,258,225,78,78,201578,42,,No seleccionado,,Consultar
3,Licenciatura 2026,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30801005.html,75,258,225,78,78,201755,75,,No seleccionado,,Consultar
3,Licenciatura 2026,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30801005.html,75,258,225,78,78,202026,44,,No seleccionado,,Consultar
3,Licenciatura 2026,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30801005.html,75,258,225,78,78,202427,74,,No seleccionado,,Consultar
3,Licenciatura 2026,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30801005.html,75,258,225,78,78,202809,102,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30801005.html,75,258,225,78,78,203254,67,,No seleccionado,,Consultar
3,Licenciatura 2026,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30801005.html,75,258,225,78,78,203337,79,S,Seleccionado,,Consultar
3,Licenciatura 2026,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/30801005.html,75,258,225,78,78,203565,31,,No seleccionado,,Consultar
