Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200112,,,No seleccionado,Cita para aclarar situación escolar.,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200118,111,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200162,111,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200176,45,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200181,49,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200279,46,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200339,79,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200375,85,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200389,,N,No presentado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200417,113,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200512,86,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200622,79,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200628,54,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200674,93,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200767,103,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200825,51,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200906,110,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,200955,52,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201100,96,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201121,99,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201128,115,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201135,105,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201162,105,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201318,46,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201395,98,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201464,107,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201479,105,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201493,33,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201520,,N,No presentado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201552,100,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201580,,N,No presentado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201670,,N,No presentado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201693,77,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201820,99,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201830,108,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201864,42,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201908,111,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201931,92,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201941,72,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201959,108,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201970,32,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,201998,82,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202018,105,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202076,56,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202078,43,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202103,45,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202348,82,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202492,94,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202505,60,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202572,50,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202595,100,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202648,102,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202660,84,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202681,72,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202706,,N,No presentado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202721,34,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202724,,N,No presentado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202874,32,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202941,55,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,202962,,N,No presentado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,203067,32,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,203126,108,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,203257,92,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,203267,51,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,203299,112,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,203468,58,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,203480,91,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,203504,,N,No presentado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,203520,76,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,203524,83,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,203525,,N,No presentado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,203529,103,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,203548,33,,No seleccionado,,Consultar
3,Licenciatura 2026,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31000045.html,39,1177,995,112,39,203585,37,,No seleccionado,,Consultar
