Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,200230,67,,No seleccionado,,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,200637,73,,No seleccionado,,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,200877,96,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,200923,98,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,200953,88,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,201573,97,S,Seleccionado,,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,201642,47,,No seleccionado,,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,202466,61,,No seleccionado,,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,202610,88,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,202687,47,,No seleccionado,,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,202730,62,,No seleccionado,,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,202878,61,,No seleccionado,,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,203436,57,,No seleccionado,,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,203657,42,,No seleccionado,,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,204209,90,S,Seleccionado,,Consultar
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31100045.html,66,234,190,88,67,204226,70,,No seleccionado,,Consultar
