Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31104005.html,47,171,148,56,97,200060,93,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31104005.html,47,171,148,56,97,200155,61,S,Seleccionado,,Consultar
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31104005.html,47,171,148,56,97,200419,,N,No presentado,,Consultar
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31104005.html,47,171,148,56,97,200609,60,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31104005.html,47,171,148,56,97,201663,83,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31104005.html,47,171,148,56,97,201673,83,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31104005.html,47,171,148,56,97,201712,45,,No seleccionado,,Consultar
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31104005.html,47,171,148,56,97,201782,72,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31104005.html,47,171,148,56,97,201909,35,,No seleccionado,,Consultar
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31104005.html,47,171,148,56,97,201961,66,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31104005.html,47,171,148,56,97,202009,,C,Cancelado,,Consultar
