Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,213215,45,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,214279,90,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,218750,84,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,227037,95,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,231687,,N,No presentado,,Consultar
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,246784,50,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,246812,44,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,247094,,N,No presentado,,Consultar
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,247512,56,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,247531,69,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,247804,92,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,248812,51,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,248890,43,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,249305,50,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31406005.html,35,54,41,42,32,249381,,N,No presentado,,Consultar
