Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31502005.html,80,896,785,91,167,200005,99,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31502005.html,80,896,785,91,167,200016,95,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31502005.html,80,896,785,91,167,200071,75,,No seleccionado,,Consultar
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31502005.html,80,896,785,91,167,200095,110,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31502005.html,80,896,785,91,167,200149,64,,No seleccionado,,Consultar
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31502005.html,80,896,785,91,167,200198,80,,No seleccionado,,Consultar
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31502005.html,80,896,785,91,167,200329,89,,No seleccionado,,Consultar
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31502005.html,80,896,785,91,167,200334,49,,No seleccionado,,Consultar
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31502005.html,80,896,785,91,167,200359,100,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/31502005.html,80,896,785,91,167,200429,80,,No seleccionado,,Consultar
