Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,320,32006005,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32006005.html,36,12,7,57,7,246858,59,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,320,32006005,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32006005.html,36,12,7,57,7,248539,57,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,320,32006005,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32006005.html,36,12,7,57,7,249102,,N,No presentado,,Consultar
3,Licenciatura 2026,320,32006005,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32006005.html,36,12,7,57,7,250727,84,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,320,32006005,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32006005.html,36,12,7,57,7,251238,62,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,320,32006005,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32006005.html,36,12,7,57,7,252915,,N,No presentado,,Consultar
3,Licenciatura 2026,320,32006005,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32006005.html,36,12,7,57,7,253303,63,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,320,32006005,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32006005.html,36,12,7,57,7,254151,,N,No presentado,,Consultar
3,Licenciatura 2026,320,32006005,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32006005.html,36,12,7,57,7,256580,68,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,320,32006005,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32006005.html,36,12,7,57,7,256591,,N,No presentado,,Consultar
3,Licenciatura 2026,320,32006005,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32006005.html,36,12,7,57,7,256592,98,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,320,32006005,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32006005.html,36,12,7,57,7,256631,,N,No presentado,,Consultar
