Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32306005.html,45,92,59,40,44,200392,55,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32306005.html,45,92,59,40,44,200702,39,,No seleccionado,,Consultar
3,Licenciatura 2026,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32306005.html,45,92,59,40,44,201234,,N,No presentado,,Consultar
3,Licenciatura 2026,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32306005.html,45,92,59,40,44,202530,82,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32306005.html,45,92,59,40,44,205897,36,,No seleccionado,,Consultar
3,Licenciatura 2026,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32306005.html,45,92,59,40,44,206942,35,,No seleccionado,,Consultar
3,Licenciatura 2026,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32306005.html,45,92,59,40,44,207437,44,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32306005.html,45,92,59,40,44,209001,89,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32306005.html,45,92,59,40,44,209252,73,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32306005.html,45,92,59,40,44,209314,68,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32306005.html,45,92,59,40,44,210111,81,S,Seleccionado,,Consultar
