Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32408005.html,25,25,23,42,23,201163,42,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32408005.html,25,25,23,42,23,205059,93,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32408005.html,25,25,23,42,23,214185,73,S,Seleccionado,,Consultar
3,Licenciatura 2026,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32408005.html,25,25,23,42,23,246752,53,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32408005.html,25,25,23,42,23,247430,84,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32408005.html,25,25,23,42,23,247529,48,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32408005.html,25,25,23,42,23,247838,,N,No presentado,,Consultar
3,Licenciatura 2026,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32408005.html,25,25,23,42,23,247952,59,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32408005.html,25,25,23,42,23,248009,91,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32408005.html,25,25,23,42,23,248225,50,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32408005.html,25,25,23,42,23,248243,66,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32408005.html,25,25,23,42,23,248669,70,S,Seleccionado,Cita para entregar documentación.,Consultar
3,Licenciatura 2026,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/3/32408005.html,25,25,23,42,23,249225,97,S,Seleccionado,Cita para entregar documentación.,Consultar
