Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40300135.html,19,55,34,41,24,330580,44,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40300135.html,19,55,34,41,24,331096,30,,No seleccionado,,Consultar
4,Licenciatura 2026,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40300135.html,19,55,34,41,24,331202,73,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40300135.html,19,55,34,41,24,332245,27,,No seleccionado,,Consultar
4,Licenciatura 2026,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40300135.html,19,55,34,41,24,332592,,N,No presentado,,Consultar
4,Licenciatura 2026,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40300135.html,19,55,34,41,24,332621,47,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40300135.html,19,55,34,41,24,333381,41,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40300135.html,19,55,34,41,24,333572,53,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40300135.html,19,55,34,41,24,333777,41,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40300135.html,19,55,34,41,24,333947,,N,No presentado,,Consultar
4,Licenciatura 2026,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40300135.html,19,55,34,41,24,334152,91,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40300135.html,19,55,34,41,24,334208,53,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40300135.html,19,55,34,41,24,334231,45,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40300135.html,19,55,34,41,24,334382,48,S,Seleccionado,Cita para entregar documentación.,Consultar
