Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,404,40400135,COMPOSICION,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40400135.html,21,70,47,45,35,330279,69,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,404,40400135,COMPOSICION,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40400135.html,21,70,47,45,35,330289,71,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,404,40400135,COMPOSICION,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40400135.html,21,70,47,45,35,330984,,N,No presentado,,Consultar
4,Licenciatura 2026,404,40400135,COMPOSICION,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40400135.html,21,70,47,45,35,331104,28,,No seleccionado,,Consultar
4,Licenciatura 2026,404,40400135,COMPOSICION,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40400135.html,21,70,47,45,35,331252,41,,No seleccionado,,Consultar
4,Licenciatura 2026,404,40400135,COMPOSICION,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40400135.html,21,70,47,45,35,331366,,N,No presentado,,Consultar
4,Licenciatura 2026,404,40400135,COMPOSICION,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40400135.html,21,70,47,45,35,331585,,N,No presentado,,Consultar
4,Licenciatura 2026,404,40400135,COMPOSICION,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40400135.html,21,70,47,45,35,331645,,N,No presentado,,Consultar
4,Licenciatura 2026,404,40400135,COMPOSICION,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40400135.html,21,70,47,45,35,331717,114,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,404,40400135,COMPOSICION,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40400135.html,21,70,47,45,35,331909,33,,No seleccionado,,Consultar
4,Licenciatura 2026,404,40400135,COMPOSICION,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40400135.html,21,70,47,45,35,332195,,N,No presentado,,Consultar
4,Licenciatura 2026,404,40400135,COMPOSICION,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40400135.html,21,70,47,45,35,332288,,N,No presentado,,Consultar
