Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330007,37,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330032,89,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330060,45,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330071,73,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330084,30,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330120,45,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330121,,C,Cancelado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330132,31,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330140,69,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330149,46,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330151,64,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330158,85,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330172,73,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330185,54,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330199,45,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330208,77,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330209,76,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330236,105,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330266,84,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330268,41,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330269,52,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330288,55,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330295,44,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330302,24,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330305,58,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330317,43,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330324,49,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330333,39,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330365,65,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330406,46,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330419,47,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330447,88,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330463,94,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330468,54,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330472,38,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330490,,N,No presentado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330521,49,,No seleccionado,,Consultar
4,Licenciatura 2026,406,40602005,DISEÑO GRAFICO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40602005.html,36,1310,1120,106,42,330524,47,,No seleccionado,,Consultar
