Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,330219,64,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,330300,39,,No seleccionado,,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,331811,45,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,332451,52,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,332638,50,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,333317,84,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,334223,,N,No presentado,,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,334352,96,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,334473,,N,No presentado,,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,334663,77,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,335043,48,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,335356,,N,No presentado,,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,335972,69,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,337094,,N,No presentado,,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,337708,,N,No presentado,,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,337856,54,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,338136,,N,No presentado,,Consultar
4,Licenciatura 2026,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40700135.html,28,33,22,40,18,338211,,N,No presentado,,Consultar
