Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,409,40900105,ESTUDIOS LATINOAMERICANOS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40900105.html,38,109,97,47,78,330012,70,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,409,40900105,ESTUDIOS LATINOAMERICANOS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40900105.html,38,109,97,47,78,330296,58,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,409,40900105,ESTUDIOS LATINOAMERICANOS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40900105.html,38,109,97,47,78,330535,103,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,409,40900105,ESTUDIOS LATINOAMERICANOS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40900105.html,38,109,97,47,78,330649,38,,No seleccionado,,Consultar
4,Licenciatura 2026,409,40900105,ESTUDIOS LATINOAMERICANOS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40900105.html,38,109,97,47,78,330701,52,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,409,40900105,ESTUDIOS LATINOAMERICANOS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40900105.html,38,109,97,47,78,330704,53,S,Seleccionado,,Consultar
4,Licenciatura 2026,409,40900105,ESTUDIOS LATINOAMERICANOS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40900105.html,38,109,97,47,78,330737,51,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,409,40900105,ESTUDIOS LATINOAMERICANOS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40900105.html,38,109,97,47,78,330798,52,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,409,40900105,ESTUDIOS LATINOAMERICANOS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40900105.html,38,109,97,47,78,330876,89,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,409,40900105,ESTUDIOS LATINOAMERICANOS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/40900105.html,38,109,97,47,78,331166,70,S,Seleccionado,Cita para entregar documentación.,Consultar
