Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41211005.html,20,44,34,54,25,337363,43,,No seleccionado,,Consultar
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41211005.html,20,44,34,54,25,339970,34,,No seleccionado,,Consultar
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41211005.html,20,44,34,54,25,344991,67,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41211005.html,20,44,34,54,25,345036,,N,No presentado,,Consultar
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41211005.html,20,44,34,54,25,345103,61,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41211005.html,20,44,34,54,25,345104,48,,No seleccionado,,Consultar
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41211005.html,20,44,34,54,25,345171,65,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41211005.html,20,44,34,54,25,345274,42,,No seleccionado,,Consultar
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41211005.html,20,44,34,54,25,345442,,N,No presentado,,Consultar
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41211005.html,20,44,34,54,25,345453,62,S,Seleccionado,Cita para entregar documentación.,Consultar
