Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,330053,49,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,330286,65,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,330371,,N,No presentado,,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,331034,,N,No presentado,,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,331060,,N,No presentado,,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,331219,99,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,331344,,N,No presentado,,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,331432,81,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,331490,,N,No presentado,,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,331862,98,S,Seleccionado,,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,332142,73,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,332149,,N,No presentado,,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,332189,49,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,332309,,N,No presentado,,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,332374,,N,No presentado,,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,332663,63,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,332725,56,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,332822,38,,No seleccionado,,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,332973,70,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,333104,42,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,333304,51,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,333348,,N,No presentado,,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,333422,89,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,333573,84,S,Seleccionado,,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,333967,53,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,334049,93,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,334091,84,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,334236,85,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,334264,97,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,413,41300135,INSTRUMENTISTA,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41300135.html,102,106,71,40,66,334485,55,S,Seleccionado,Cita para entregar documentación.,Consultar
