Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,414,41400105,LENGUA Y LITERATURAS HISPANICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41400105.html,45,202,176,64,106,330119,66,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,414,41400105,LENGUA Y LITERATURAS HISPANICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41400105.html,45,202,176,64,106,330179,101,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,414,41400105,LENGUA Y LITERATURAS HISPANICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41400105.html,45,202,176,64,106,330284,53,,No seleccionado,,Consultar
4,Licenciatura 2026,414,41400105,LENGUA Y LITERATURAS HISPANICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41400105.html,45,202,176,64,106,330399,,N,No presentado,,Consultar
4,Licenciatura 2026,414,41400105,LENGUA Y LITERATURAS HISPANICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41400105.html,45,202,176,64,106,330452,42,,No seleccionado,,Consultar
4,Licenciatura 2026,414,41400105,LENGUA Y LITERATURAS HISPANICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41400105.html,45,202,176,64,106,330467,71,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,414,41400105,LENGUA Y LITERATURAS HISPANICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41400105.html,45,202,176,64,106,330480,73,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,414,41400105,LENGUA Y LITERATURAS HISPANICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41400105.html,45,202,176,64,106,330485,59,,No seleccionado,,Consultar
4,Licenciatura 2026,414,41400105,LENGUA Y LITERATURAS HISPANICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41400105.html,45,202,176,64,106,330502,69,S,Seleccionado,,Consultar
4,Licenciatura 2026,414,41400105,LENGUA Y LITERATURAS HISPANICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41400105.html,45,202,176,64,106,330574,,N,No presentado,,Consultar
