Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,330147,51,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,330249,,N,No presentado,,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,330505,,N,No presentado,,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,330540,79,S,Seleccionado,,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,330541,93,S,Seleccionado,,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,330567,,N,No presentado,,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,330797,42,S,Seleccionado,,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,330915,58,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,331003,89,S,Seleccionado,,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,331160,,N,No presentado,,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,331253,,N,No presentado,,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,331419,,N,No presentado,,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,331721,47,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,331724,,N,No presentado,,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,331775,,N,No presentado,,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,331930,46,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,332144,89,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,332221,79,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,332387,,N,No presentado,,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,332427,37,,No seleccionado,,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,332465,78,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,332672,42,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,332800,60,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,417,41700105,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41700105.html,125,121,73,42,70,332948,,N,No presentado,,Consultar
