Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41800105.html,23,29,23,43,20,330708,99,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41800105.html,23,29,23,43,20,331204,66,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41800105.html,23,29,23,43,20,331265,44,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41800105.html,23,29,23,43,20,331362,59,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41800105.html,23,29,23,43,20,332676,34,,No seleccionado,,Consultar
4,Licenciatura 2026,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41800105.html,23,29,23,43,20,332794,89,S,Seleccionado,,Consultar
4,Licenciatura 2026,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41800105.html,23,29,23,43,20,333447,,N,No presentado,,Consultar
4,Licenciatura 2026,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41800105.html,23,29,23,43,20,333706,61,S,Seleccionado,,Consultar
4,Licenciatura 2026,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41800105.html,23,29,23,43,20,333923,61,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41800105.html,23,29,23,43,20,336137,,N,No presentado,,Consultar
4,Licenciatura 2026,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/41800105.html,23,29,23,43,20,337028,97,S,Seleccionado,Cita para entregar documentación.,Consultar
