Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330021,83,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330124,60,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330196,94,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330387,45,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330409,25,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330489,53,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330504,58,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330531,80,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330559,66,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330609,90,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330622,110,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330623,44,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330660,72,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330678,,N,No presentado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330682,64,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330748,74,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330754,,C,Cancelado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330873,41,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,330988,,N,No presentado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331044,38,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331131,88,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331137,90,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331232,,N,No presentado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331235,,N,No presentado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331244,85,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331249,69,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331270,53,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331283,46,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331312,,N,No presentado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331384,49,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331642,63,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331706,,N,No presentado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331808,104,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331817,50,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331914,76,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,331936,44,,No seleccionado,,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,332110,111,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,420,42000105,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42000105.html,32,415,355,102,33,332112,100,,No seleccionado,,Consultar
