Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42906005.html,36,23,14,48,11,330004,69,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42906005.html,36,23,14,48,11,330948,80,S,Seleccionado,,Consultar
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42906005.html,36,23,14,48,11,334407,29,,No seleccionado,,Consultar
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42906005.html,36,23,14,48,11,345075,55,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42906005.html,36,23,14,48,11,345174,,N,No presentado,,Consultar
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42906005.html,36,23,14,48,11,345212,,N,No presentado,,Consultar
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42906005.html,36,23,14,48,11,345296,39,,No seleccionado,,Consultar
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42906005.html,36,23,14,48,11,345368,51,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42906005.html,36,23,14,48,11,345504,48,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42906005.html,36,23,14,48,11,345879,,N,No presentado,,Consultar
