Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,429,42908005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42908005.html,29,22,18,40,15,334820,83,S,Seleccionado,,Consultar
4,Licenciatura 2026,429,42908005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42908005.html,29,22,18,40,15,341157,,N,No presentado,,Consultar
4,Licenciatura 2026,429,42908005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42908005.html,29,22,18,40,15,342364,36,,No seleccionado,,Consultar
4,Licenciatura 2026,429,42908005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42908005.html,29,22,18,40,15,344341,,N,No presentado,,Consultar
4,Licenciatura 2026,429,42908005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42908005.html,29,22,18,40,15,345466,43,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,429,42908005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42908005.html,29,22,18,40,15,345786,40,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,429,42908005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42908005.html,29,22,18,40,15,345943,43,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,429,42908005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42908005.html,29,22,18,40,15,346115,28,,No seleccionado,,Consultar
4,Licenciatura 2026,429,42908005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42908005.html,29,22,18,40,15,346176,61,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,429,42908005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/42908005.html,29,22,18,40,15,346290,94,S,Seleccionado,Cita para entregar documentación.,Consultar
