Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43700105.html,15,96,83,82,15,330113,67,,No seleccionado,,Consultar
4,Licenciatura 2026,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43700105.html,15,96,83,82,15,330127,51,,No seleccionado,,Consultar
4,Licenciatura 2026,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43700105.html,15,96,83,82,15,330145,,N,No presentado,,Consultar
4,Licenciatura 2026,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43700105.html,15,96,83,82,15,330273,38,,No seleccionado,,Consultar
4,Licenciatura 2026,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43700105.html,15,96,83,82,15,330390,65,,No seleccionado,,Consultar
4,Licenciatura 2026,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43700105.html,15,96,83,82,15,330644,22,,No seleccionado,,Consultar
4,Licenciatura 2026,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43700105.html,15,96,83,82,15,330677,33,,No seleccionado,,Consultar
4,Licenciatura 2026,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43700105.html,15,96,83,82,15,330728,86,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43700105.html,15,96,83,82,15,331051,,N,No presentado,,Consultar
4,Licenciatura 2026,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43700105.html,15,96,83,82,15,331098,40,,No seleccionado,,Consultar
4,Licenciatura 2026,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43700105.html,15,96,83,82,15,331259,35,,No seleccionado,,Consultar
4,Licenciatura 2026,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43700105.html,15,96,83,82,15,331391,32,,No seleccionado,,Consultar
