Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,331739,,N,No presentado,,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,332871,,N,No presentado,,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,334232,79,S,Seleccionado,,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,334436,,N,No presentado,,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,334455,,N,No presentado,,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,335205,,N,No presentado,,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,335740,96,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,336686,54,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,340227,103,S,Seleccionado,,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,340817,,N,No presentado,,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,343310,,N,No presentado,,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,343543,59,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,343827,55,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,344890,,N,No presentado,,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,345067,85,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,345093,65,S,Seleccionado,Cita para entregar documentación.,Consultar
4,Licenciatura 2026,438,43807005,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/43807005.html,25,54,33,49,30,345199,94,S,Seleccionado,Cita para entregar documentación.,Consultar
