Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330022,,N,No presentado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330041,69,,No seleccionado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330091,35,,No seleccionado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330146,69,,No seleccionado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330163,48,,No seleccionado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330190,,N,No presentado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330218,64,,No seleccionado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330233,92,,No seleccionado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330451,32,,No seleccionado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330462,,N,No presentado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330473,,N,No presentado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330492,,N,No presentado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330510,,N,No presentado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330522,78,,No seleccionado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330542,106,,No seleccionado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330592,89,,No seleccionado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330641,94,,No seleccionado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330642,54,,No seleccionado,,Consultar
4,Licenciatura 2026,440,44000425,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/4/44000425.html,19,438,285,107,19,330653,,N,No presentado,,Consultar
