Area,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Estado_extraccion,Filas_extraidas,Seleccionados_extraidos,Duracion_segundos,Error,Concurso,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados
1,101,10100035,ACTUARIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10100035.html,Completado,1614,84,0.54,,Licenciatura 2026,70,1614,1395,113,86
1,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10102005.html,Completado,773,53,0.43,,Licenciatura 2026,51,773,668,108,54
1,102,10200015,ARQUITECTURA,FACULTAD DE ARQUITECTURA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10200015.html,Completado,4730,266,1.33,,Licenciatura 2026,250,4730,4032,108,276
1,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,Completado,1479,108,0.77,,Licenciatura 2026,86,1479,1266,99,110
1,102,10204005,ARQUITECTURA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10204005.html,Completado,1869,103,0.74,,Licenciatura 2026,95,1869,1628,103,106
1,103,10300015,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10300015.html,Completado,308,26,0.38,,Licenciatura 2026,25,308,270,100,27
1,133,13307005,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13307005.html,Completado,28,20,0.2,,Licenciatura 2026,44,28,22,40,20
1,104,10400035,CIENCIAS DE LA COMPUTACION,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10400035.html,Completado,1270,44,0.51,,Licenciatura 2026,40,1270,1042,113,47
1,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12700175.html,Completado,132,54,0.29,,Licenciatura 2026,55,132,114,73,55
1,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,Completado,14,8,0.25,,Licenciatura 2026,28,14,8,47,8
1,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12710005.html,Completado,54,41,0.25,,Licenciatura 2026,35,54,46,40,41
1,105,10504005,DISEÑO INDUSTRIAL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10504005.html,Completado,822,25,0.54,,Licenciatura 2026,23,822,662,106,26
