Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,000012,80,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,000031,61,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,000218,,N,No presentada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,000295,,N,No presentada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,000350,90,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,000403,87,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,000458,,N,No presentada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,000491,41,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,000593,72,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,000619,,N,No presentada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,000649,58,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,000718,40,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,000966,,N,No presentada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001140,52,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001176,71,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001206,80,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001235,,N,No presentada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001428,77,S,Seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001447,103,S,Seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001515,54,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001546,,N,No presentada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001576,,N,No presentada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001674,82,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001692,,N,No presentada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001696,,N,No presentada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001823,76,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001849,70,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001856,49,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001869,,N,No presentada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,001915,73,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,002070,77,S,Seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,002320,,N,No presentada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,002356,,N,No presentada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,002375,41,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,002678,97,S,Seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,002727,30,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,002729,51,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,002731,,N,No presentada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,002811,70,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,002815,78,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,002863,59,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,003074,58,,No seleccionada/o,,
1,Licenciatura 2026,107,10700115,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/10700115.html,130,478,286,73,137,003144,41,,No seleccionada/o,,
