Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,029176,,N,No presentada/o,,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,030206,56,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,030271,68,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,030288,,N,No presentada/o,,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,030292,,N,No presentada/o,,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,030783,,N,No presentada/o,,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,031055,,N,No presentada/o,,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,031320,69,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,031377,55,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,031470,,N,No presentada/o,,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,031481,51,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,032065,37,,No seleccionada/o,,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,032076,53,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,032204,70,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,032352,,N,No presentada/o,,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,032489,77,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,032586,53,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,032710,,N,No presentada/o,,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,033019,59,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,033087,,N,No presentada/o,,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,033952,80,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,034035,,N,No presentada/o,,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,035059,22,,No seleccionada/o,,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,035634,,N,No presentada/o,,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,035693,65,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,035910,64,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,25,27,16,51,14,036086,79,S,Seleccionada/o,Cita para entregar documentación.,
