Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,45,65,41,40,41,000211,100,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,45,65,41,40,41,000414,,N,No presentada/o,,
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,45,65,41,40,41,002091,68,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,45,65,41,40,41,002420,60,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,45,65,41,40,41,009573,,N,No presentada/o,,
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,45,65,41,40,41,012646,,N,No presentada/o,,
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,45,65,41,40,41,017186,76,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,45,65,41,40,41,018331,54,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,45,65,41,40,41,018851,41,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,45,65,41,40,41,020372,99,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,45,65,41,40,41,021711,95,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,45,65,41,40,41,026670,46,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,45,65,41,40,41,026909,,N,No presentada/o,,
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,45,65,41,40,41,027162,85,S,Seleccionada/o,Cita para entregar documentación.,
