Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,000138,71,S,Seleccionada/o,,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,000143,48,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,000161,71,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,000319,47,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,000439,,N,No presentada/o,,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,000700,,N,No presentada/o,,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,000751,,N,No presentada/o,,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,000806,51,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,000930,58,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,000961,56,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,001335,,N,No presentada/o,,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,001441,60,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,001525,62,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,001724,,N,No presentada/o,,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,002365,,N,No presentada/o,,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,002448,59,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,002544,,N,No presentada/o,,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,003309,54,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,003499,41,,No seleccionada/o,,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,003722,86,S,Seleccionada/o,,
1,Licenciatura 2026,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,66,158,83,46,67,003980,,N,No presentada/o,,
