Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11805005.html,108,254,154,51,114,000292,,N,No presentada/o,,
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11805005.html,108,254,154,51,114,000513,40,,No seleccionada/o,,
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11805005.html,108,254,154,51,114,000526,,N,No presentada/o,,
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11805005.html,108,254,154,51,114,000557,76,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11805005.html,108,254,154,51,114,000595,,N,No presentada/o,,
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11805005.html,108,254,154,51,114,000710,72,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11805005.html,108,254,154,51,114,000729,51,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11805005.html,108,254,154,51,114,000829,60,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11805005.html,108,254,154,51,114,001347,,S,Seleccionada/o,Cita para aclarar situación escolar.,
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11805005.html,108,254,154,51,114,001381,54,S,Seleccionada/o,Cita para entregar documentación.,
