Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,000200,69,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,000284,,N,No presentada/o,,
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,000383,52,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,000511,55,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,000592,73,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,000719,41,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,001015,,N,No presentada/o,,
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,001044,,N,No presentada/o,,
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,001057,53,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,001074,82,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,001243,,N,No presentada/o,,
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,001268,73,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,001387,50,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,001533,62,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,260,358,247,40,226,001569,,N,No presentada/o,,
