Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12610005.html,35,52,45,44,44,001845,55,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12610005.html,35,52,45,44,44,005060,57,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12610005.html,35,52,45,44,44,005984,51,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12610005.html,35,52,45,44,44,006311,100,S,Seleccionada/o,,
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12610005.html,35,52,45,44,44,013489,,N,No presentada/o,,
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12610005.html,35,52,45,44,44,019470,69,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12610005.html,35,52,45,44,44,025578,92,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12610005.html,35,52,45,44,44,028651,,N,No presentada/o,,
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12610005.html,35,52,45,44,44,029669,80,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12610005.html,35,52,45,44,44,029767,93,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12610005.html,35,52,45,44,44,029774,76,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12610005.html,35,52,45,44,44,029795,81,S,Seleccionada/o,Cita para entregar documentación.,
