Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,002442,,N,No presentada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,002752,47,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,002760,71,S,Seleccionada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,002844,60,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,003426,,N,No presentada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,003937,90,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,003950,99,S,Seleccionada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,004320,94,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,004455,74,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,004828,,N,No presentada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,004885,40,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,004970,,N,No presentada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,005436,104,S,Seleccionada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,005944,89,S,Seleccionada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,006345,,N,No presentada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,007348,59,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,008380,83,S,Seleccionada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,008876,,N,No presentada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,009379,,N,No presentada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,009501,66,S,Seleccionada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,009531,74,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,009784,77,S,Seleccionada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,010498,84,S,Seleccionada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,011373,37,,No seleccionada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,011620,64,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,011707,72,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,011767,70,S,Seleccionada/o,,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,013202,64,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,013241,72,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,013556,73,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12700175,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12700175.html,55,71,49,40,48,013598,63,S,Seleccionada/o,,
