Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,000789,84,S,Seleccionada/o,,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,003724,69,S,Seleccionada/o,,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,006493,96,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,006954,92,S,Seleccionada/o,,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,014624,54,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,017761,,N,No presentada/o,,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,021111,70,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,027679,56,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,029674,43,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,029792,,N,No presentada/o,,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,030169,43,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,030396,50,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,030963,86,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,031139,78,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,031280,61,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,031524,98,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,031900,68,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,127,12710005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12710005.html,35,41,33,40,33,031963,55,S,Seleccionada/o,Cita para entregar documentación.,
