Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,133,13307005,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13307005.html,44,20,15,40,15,000769,78,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,133,13307005,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13307005.html,44,20,15,40,15,008591,75,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,133,13307005,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13307005.html,44,20,15,40,15,009227,66,S,Seleccionada/o,,
1,Licenciatura 2026,133,13307005,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13307005.html,44,20,15,40,15,023968,58,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,133,13307005,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13307005.html,44,20,15,40,15,030382,56,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,133,13307005,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13307005.html,44,20,15,40,15,030750,,N,No presentada/o,,
1,Licenciatura 2026,133,13307005,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13307005.html,44,20,15,40,15,030979,50,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,133,13307005,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13307005.html,44,20,15,40,15,031290,42,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,133,13307005,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13307005.html,44,20,15,40,15,032319,59,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,133,13307005,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13307005.html,44,20,15,40,15,032331,40,S,Seleccionada/o,Cita para entregar documentación.,
