Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,134,13400035,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13400035.html,13,37,25,81,15,000081,80,,No seleccionada/o,,
1,Licenciatura 2026,134,13400035,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13400035.html,13,37,25,81,15,004378,64,,No seleccionada/o,,
1,Licenciatura 2026,134,13400035,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13400035.html,13,37,25,81,15,007147,86,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,134,13400035,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13400035.html,13,37,25,81,15,007578,92,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,134,13400035,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13400035.html,13,37,25,81,15,007800,67,,No seleccionada/o,,
1,Licenciatura 2026,134,13400035,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13400035.html,13,37,25,81,15,009865,88,S,Seleccionada/o,,
1,Licenciatura 2026,134,13400035,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13400035.html,13,37,25,81,15,010010,87,S,Seleccionada/o,,
1,Licenciatura 2026,134,13400035,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13400035.html,13,37,25,81,15,012405,84,S,Seleccionada/o,,
1,Licenciatura 2026,134,13400035,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13400035.html,13,37,25,81,15,012881,43,,No seleccionada/o,,
1,Licenciatura 2026,134,13400035,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13400035.html,13,37,25,81,15,013972,55,,No seleccionada/o,,
