Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13600035.html,32,60,46,73,41,000260,71,,No seleccionada/o,,
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13600035.html,32,60,46,73,41,001292,61,,No seleccionada/o,,
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13600035.html,32,60,46,73,41,001312,90,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13600035.html,32,60,46,73,41,005178,98,S,Seleccionada/o,,
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13600035.html,32,60,46,73,41,006699,90,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13600035.html,32,60,46,73,41,007977,102,S,Seleccionada/o,,
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13600035.html,32,60,46,73,41,008129,,N,No presentada/o,,
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13600035.html,32,60,46,73,41,008330,102,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13600035.html,32,60,46,73,41,010874,73,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13600035.html,32,60,46,73,41,011099,88,S,Seleccionada/o,Cita para entregar documentación.,
