Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/14010005.html,35,31,24,41,24,000183,74,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/14010005.html,35,31,24,41,24,000208,71,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/14010005.html,35,31,24,41,24,003991,41,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/14010005.html,35,31,24,41,24,008978,,N,No presentada/o,,
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/14010005.html,35,31,24,41,24,009614,97,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/14010005.html,35,31,24,41,24,009802,49,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/14010005.html,35,31,24,41,24,012517,,S,Seleccionada/o,Cita para aclarar situación escolar.,
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/14010005.html,35,31,24,41,24,017016,104,S,Seleccionada/o,Cita para entregar documentación.,
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/14010005.html,35,31,24,41,24,018235,,N,No presentada/o,,
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/14010005.html,35,31,24,41,24,029971,59,S,Seleccionada/o,Cita para entregar documentación.,
