Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,070222,85,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,070397,82,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,070773,81,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,071226,81,S,Seleccionada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,071397,,N,No presentada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,071699,57,,No seleccionada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,071924,67,,No seleccionada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,072082,88,S,Seleccionada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,072529,73,S,Seleccionada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,072590,54,,No seleccionada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,073097,52,,No seleccionada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,073970,,N,No presentada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,074358,94,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,074537,84,S,Seleccionada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,074606,63,,No seleccionada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,074710,,N,No presentada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,074950,,N,No presentada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,075393,,N,No presentada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,075730,95,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,076671,,N,No presentada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,076710,71,,No seleccionada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,076749,96,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,076984,80,S,Seleccionada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,077355,,N,No presentada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,077441,75,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,077744,74,S,Seleccionada/o,,
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20100035.html,130,401,281,72,156,077823,91,S,Seleccionada/o,,
