Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070024,,N,No presentada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070060,,N,No presentada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070095,50,,No seleccionada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070372,58,,No seleccionada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070442,83,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070475,,N,No presentada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070578,40,,No seleccionada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070598,47,,No seleccionada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070604,,N,No presentada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070641,29,,No seleccionada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070661,44,,No seleccionada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070663,,N,No presentada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070818,,N,No presentada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070884,49,,No seleccionada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,070923,48,,No seleccionada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,071126,48,,No seleccionada/o,,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,071163,89,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20203005.html,148,1085,669,65,190,071201,47,,No seleccionada/o,,
