Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,071903,56,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,072080,79,S,Seleccionada/o,,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,072159,,N,No presentada/o,,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,076289,,N,No presentada/o,,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,076499,59,S,Seleccionada/o,,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,076704,44,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,076807,64,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,077061,42,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,077157,68,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,077630,48,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,077759,40,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,077868,46,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,078189,36,,No seleccionada/o,,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,080490,43,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,080719,51,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,080835,,N,No presentada/o,,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,081086,45,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,081478,,N,No presentada/o,,
2,Licenciatura 2026,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20401005.html,69,127,78,40,65,082394,41,S,Seleccionada/o,Cita para entregar documentación.,
