Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20800125.html,176,1718,1111,92,312,070002,67,,No seleccionada/o,,
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20800125.html,176,1718,1111,92,312,070031,,N,No presentada/o,,
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20800125.html,176,1718,1111,92,312,070099,95,S,Seleccionada/o,,
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20800125.html,176,1718,1111,92,312,070118,,N,No presentada/o,,
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20800125.html,176,1718,1111,92,312,070142,,N,No presentada/o,,
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20800125.html,176,1718,1111,92,312,070159,91,,No seleccionada/o,,
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20800125.html,176,1718,1111,92,312,070177,65,,No seleccionada/o,,
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20800125.html,176,1718,1111,92,312,070249,,N,No presentada/o,,
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20800125.html,176,1718,1111,92,312,070256,99,S,Seleccionada/o,,
2,Licenciatura 2026,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20800125.html,176,1718,1111,92,312,070408,51,,No seleccionada/o,,
