Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21000195.html,80,596,372,74,142,070248,48,,No seleccionada/o,,
2,Licenciatura 2026,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21000195.html,80,596,372,74,142,070655,61,,No seleccionada/o,,
2,Licenciatura 2026,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21000195.html,80,596,372,74,142,071022,71,,No seleccionada/o,,
2,Licenciatura 2026,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21000195.html,80,596,372,74,142,071230,77,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21000195.html,80,596,372,74,142,071262,92,S,Seleccionada/o,,
2,Licenciatura 2026,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21000195.html,80,596,372,74,142,071331,,N,No presentada/o,,
2,Licenciatura 2026,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21000195.html,80,596,372,74,142,071398,66,,No seleccionada/o,,
2,Licenciatura 2026,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21000195.html,80,596,372,74,142,071726,48,,No seleccionada/o,,
2,Licenciatura 2026,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21000195.html,80,596,372,74,142,072003,73,,No seleccionada/o,,
2,Licenciatura 2026,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21000195.html,80,596,372,74,142,072062,,N,No presentada/o,,
2,Licenciatura 2026,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21000195.html,80,596,372,74,142,072383,91,S,Seleccionada/o,,
2,Licenciatura 2026,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21000195.html,80,596,372,74,142,072409,46,,No seleccionada/o,,
