Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21005005.html,150,665,452,64,152,070088,60,,No seleccionada/o,,
2,Licenciatura 2026,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21005005.html,150,665,452,64,152,070240,40,,No seleccionada/o,,
2,Licenciatura 2026,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21005005.html,150,665,452,64,152,070339,,N,No presentada/o,,
2,Licenciatura 2026,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21005005.html,150,665,452,64,152,070579,70,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21005005.html,150,665,452,64,152,070581,50,,No seleccionada/o,,
2,Licenciatura 2026,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21005005.html,150,665,452,64,152,070703,,N,No presentada/o,,
2,Licenciatura 2026,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21005005.html,150,665,452,64,152,070757,,N,No presentada/o,,
2,Licenciatura 2026,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21005005.html,150,665,452,64,152,070811,51,,No seleccionada/o,,
2,Licenciatura 2026,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21005005.html,150,665,452,64,152,070816,,N,No presentada/o,,
2,Licenciatura 2026,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21005005.html,150,665,452,64,152,070866,57,,No seleccionada/o,,
2,Licenciatura 2026,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21005005.html,150,665,452,64,152,070887,83,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21005005.html,150,665,452,64,152,070937,45,,No seleccionada/o,,
