Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21010005.html,40,70,54,45,54,075389,,N,No presentada/o,,
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21010005.html,40,70,54,45,54,077296,98,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21010005.html,40,70,54,45,54,077596,90,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21010005.html,40,70,54,45,54,077778,68,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21010005.html,40,70,54,45,54,078852,71,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21010005.html,40,70,54,45,54,088665,46,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21010005.html,40,70,54,45,54,094026,57,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21010005.html,40,70,54,45,54,094766,60,S,Seleccionada/o,,
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21010005.html,40,70,54,45,54,102812,63,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21010005.html,40,70,54,45,54,120498,64,S,Seleccionada/o,Cita para entregar documentación.,
