Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21200055.html,48,143,112,70,48,070277,45,,No seleccionada/o,,
2,Licenciatura 2026,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21200055.html,48,143,112,70,48,070603,45,,No seleccionada/o,,
2,Licenciatura 2026,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21200055.html,48,143,112,70,48,070906,53,,No seleccionada/o,,
2,Licenciatura 2026,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21200055.html,48,143,112,70,48,071066,66,,No seleccionada/o,,
2,Licenciatura 2026,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21200055.html,48,143,112,70,48,071881,,N,No presentada/o,,
2,Licenciatura 2026,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21200055.html,48,143,112,70,48,071911,63,,No seleccionada/o,,
2,Licenciatura 2026,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21200055.html,48,143,112,70,48,071988,,N,No presentada/o,,
2,Licenciatura 2026,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21200055.html,48,143,112,70,48,073360,,N,No presentada/o,,
2,Licenciatura 2026,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21200055.html,48,143,112,70,48,073606,71,S,Seleccionada/o,,
2,Licenciatura 2026,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21200055.html,48,143,112,70,48,074595,68,,No seleccionada/o,,
2,Licenciatura 2026,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21200055.html,48,143,112,70,48,077625,83,S,Seleccionada/o,,
2,Licenciatura 2026,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21200055.html,48,143,112,70,48,078415,42,,No seleccionada/o,,
2,Licenciatura 2026,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21200055.html,48,143,112,70,48,078889,85,S,Seleccionada/o,Cita para entregar documentación.,
