Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21305005.html,55,261,165,65,84,070221,,N,No presentada/o,,
2,Licenciatura 2026,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21305005.html,55,261,165,65,84,070255,,N,No presentada/o,,
2,Licenciatura 2026,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21305005.html,55,261,165,65,84,070537,88,S,Seleccionada/o,,
2,Licenciatura 2026,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21305005.html,55,261,165,65,84,070750,40,,No seleccionada/o,,
2,Licenciatura 2026,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21305005.html,55,261,165,65,84,071184,,N,No presentada/o,,
2,Licenciatura 2026,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21305005.html,55,261,165,65,84,071316,91,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21305005.html,55,261,165,65,84,072049,,N,No presentada/o,,
2,Licenciatura 2026,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21305005.html,55,261,165,65,84,072212,88,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21305005.html,55,261,165,65,84,072363,31,,No seleccionada/o,,
2,Licenciatura 2026,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21305005.html,55,261,165,65,84,072637,85,S,Seleccionada/o,Cita para entregar documentación.,
